
Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
5300000 6094 12894 18569 17352 16491 14544 14456 10311 5312 37902 36586 41535 9163 6427 9733 7504 11490 5903 1173 1 2535 0 30958355 5780 6174 
5400000 6229 11964 18171 16586 16812 15078 15619 10955 5778 38684 36702 41806 8881 6348 9697 7085 11788 5881 1097 0 2607 0 34885963 5947 6230 
5500000 6162 11885 18284 16768 17225 15003 15132 10225 4800 38259 36161 41064 8564 6460 9650 7808 11855 5883 1138 0 2581 0 31026198 5930 6483 
5600000 6244 12529 18307 16252 15840 14731 15719 11172 5552 37998 36792 41556 8801 6319 9404 7278 12034 5844 1134 0 2532 0 30943463 6169 6664 
5700000 6111 12264 18657 17004 16749 14627 15051 10472 5227 38082 36502 41578 8836 6339 9375 7631 11945 6094 1152 0 2558 0 32466562 5991 6560 
5800000 6014 12529 19221 17484 16773 14694 15023 10565 5106 38371 37260 41778 8255 6425 9473 7729 11927 5871 1120 0 2571 0 33144660 6040 6470 
5900000 6146 12387 18556 16945 16411 14709 15347 10768 5252 38214 36647 41660 7952 7051 9728 8060 11354 6075 1196 0 2508 0 27957623 5827 6303 
6000000 6090 12568 19070 17451 16652 14693 15098 10415 5300 37997 36974 42366 7728 6848 9529 8050 11662 5863 1095 0 2587 0 35301332 5930 6337 


Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
6100000 6015 12604 18553 16825 16324 14594 15265 10673 5091 37776 36614 41554 8145 7022 8986 8244 11879 5944 1115 0 2614 0 31849835 5944 6637 
6200000 6049 12741 18647 17137 16364 14665 14885 10353 5276 37969 36110 42038 7822 7121 8922 8331 11749 5735 1081 0 2596 0 33158129 6144 6614 
6300000 5903 12526 18386 16883 16204 14824 15310 10629 5331 38073 36003 41920 7933 7665 9140 8211 11430 5841 1147 0 2580 0 32953658 5914 6409 
6400000 6260 12195 18719 17081 16854 15197 15052 10657 4953 38472 36176 42320 7839 7682 8888 8025 11614 5632 1148 0 2557 0 30191372 5904 6218 
6500000 6094 12131 18140 16740 16588 15196 15317 10370 4828 37943 35801 41660 7500 8222 9124 8604 11350 5420 1152 0 2560 0 29940896 5919 6377 
6600000 6319 12903 19001 16978 15883 14223 14903 10513 5444 38149 36088 41930 6897 8708 9346 8348 11084 5297 1097 0 2556 0 35520431 5940 6257 
6700000 5568 11830 17986 16716 16277 14631 15167 10716 5224 37299 35208 41608 7244 8883 9212 8629 10745 5507 1137 0 2617 0 30075996 6095 6623 
6800000 5824 12145 18150 16612 16443 14545 15123 10364 5371 37445 35268 41864 7158 8718 9184 8626 11011 4983 1108 0 2557 0 33325151 6237 6553 
6900000 6607 12445 18344 16250 16489 14669 14567 9543 4869 36843 35385 41555 7147 8773 9351 8724 10929 5296 1066 0 2665 0 36769883 6111 6549 
7000000 6255 12967 19370 17396 16081 13894 13833 10179 5019 37349 35838 41807 6726 8801 9761 8338 11016 5038 1119 0 2564 0 31372320 6127 6478 


Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
7100000 5714 12067 18181 16784 16087 14431 14161 10351 4993 36351 35205 41213 6760 8780 9726 8676 11206 5072 1081 0 2644 0 35757255 6271 6696 
7200000 6516 12533 18871 16757 16461 14274 14051 9856 4852 37030 35378 41763 6648 9069 9449 8697 10971 4846 1091 0 2580 0 30900184 6189 6568 
7300000 5978 12242 18192 16663 15879 13799 14158 9999 5449 36319 34751 41289 7107 9029 8770 8418 11857 5039 1085 0 2652 0 33716141 6245 6643 
7400000 6525 12765 18715 16326 16149 14128 14460 9845 5224 36564 35507 42066 7109 8652 9102 8231 11411 5175 1079 0 2605 0 35305015 6058 6272 
7500000 5940 12673 19031 17750 16524 14503 13464 9826 4502 36503 35734 41976 6570 9264 9221 8849 10897 5419 1117 0 2609 0 32898000 5941 6385 
7600000 6085 12508 18580 16470 15893 14099 14249 10107 5013 35689 35437 41878 6573 8767 9212 8670 11097 5361 1137 0 2526 0 29886656 6353 6736 
7700000 6307 12792 18346 16262 15688 14547 14351 10033 4743 35975 35526 41568 6459 9055 9146 8572 11710 5278 1102 0 2604 0 36086298 6231 6656 
7800000 5786 12403 18455 16881 15920 14255 14352 10460 5129 36129 35749 41763 6405 9241 9091 8563 11168 5212 1109 0 2606 0 33397262 6295 6661 
7900000 5920 12105 18173 16819 16460 14352 14401 10070 4909 36102 35683 41424 6308 9474 8881 8734 11503 5320 1118 1 2566 0 33131460 5962 6521 
8000000 5860 12140 18536 16937 16318 14492 14516 10201 4920 35938 35889 42093 6584 9250 8787 8308 11469 5282 1009 0 2658 0 36814959 6087 6435 


Steps Product0 Product1 Product2 Product3 Product4 Product5 Product6 Product7 Product8 Picked0 Picked1 Picked2 PlanetVisited0 PlanetVisited1 PlanetVisited2 PlanetVisited3 PlanetVisited4 PlanetVisited5 LostCredits SameCredits EarnedCredits FailedBuy TradeBalance SkippingSell SkippingBuy
8100000 6124 12725 18620 16718 15973 14359 14497 9904 4726 35572 36200 41874 6915 9420 8923 8488 11323 5151 1086 0 2645 0 36308035 5893 6430 
8200000 5971 12470 18493 16868 16091 14458 14499 10434 5207 36082 36031 42378 6366 9824 8779 8606 11080 5025 1109 0 2576 0 34003763 5861 6162 
